RAMP_TO_RAMP,AIR_TIME,DISTANCE
3655,2370,230
7457,6016,639
3752,2471,230
13603,12493,1506
4094,2624,212
16624,14488,1620
3952,2481,212
14802,12718,1605
7755,6097,624
7147,5628,624
12592,11072,1452
9333,8050,991
9714,7957,862
6516,5257,602
9747,8099,844
4257,2572,212
4407,2788,212
10714,9054,967
7644,6334,680
10235,8327,967
14862,13226,1605
7271,6031,602
9140,7858,896
16654,15000,1754
5151,3392,300
7135,5576,516
10274,8960,883
9541,8008,853
7151,5351,516
10998,9572,957
6720,5525,495
6650,4368,391
14007,12594,1452
5668,3922,300
6594,5183,495
12007,10619,991
9672,8363,794
12726,11073,1024
9083,7266,627
16800,14968,1620
4958,4024,179
3589,2369,109
3539,2327,109
4687,3711,179
11376,9848,991
11383,9992,896
5485,4293,349
12031,9909,1024
10623,8866,862
10578,8668,846
13505,11562,1024
10666,9055,846
11873,9325,862
18690,16280,1476
20267,18071,1620
11779,9493,967
11295,9497,888
9144,7132,627
12797,10648,967
16036,14191,1476
10528,9045,883
11205,8812,888
9649,8277,794
18108,15994,1620
11074,9106,862
18847,16479,1452
5645,4250,349
11467,10030,850
11120,9585,977
10553,8889,850
20187,17692,1620
6689,5217,472
7622,6169,472
11232,9595,883
16477,14799,1491
15822,13716,1199
7503,5253,391
18739,16083,1605
5188,3539,216
9653,8077,770
5406,3299,216
19567,17827,1546
13094,11154,967
12038,9940,967
17925,16032,1546
13740,12221,1014
8273,6001,458
12352,10763,948
14129,10365,862
8981,6703,458
17204,15411,1491
11678,9603,773
10060,7657,674
10913,8849,773
12691,9784,862
9912,8082,674
12669,10840,957
4135,1873,73
14279,11689,1024
13588,10638,888
14146,11673,888
14537,12032,1024
13195,11610,883
