UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,FREIGHT
0A875,11057,11292,73
0A875,11292,10140,2093
0A875,11292,11292,3285
0A875,11292,11292,3913
0A875,11292,12266,384
0A875,11298,11292,591
0A875,13487,10599,167
0A875,14893,11775,1068
6725,11259,14262,12170
6725,14893,14814,8631
6003,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,12889,11292,0
6460,14869,15370,0
6460,15016,11292,0
6299,11413,11292,40799
7041,13244,11292,0
7041,13851,14100,0
6700,10372,14122,0
6700,10693,11292,0
6700,11292,11292,0
6700,11292,12889,0
6700,11292,12339,0
6700,11292,12889,0
6700,11423,11292,0
6700,12389,11292,0
6700,13871,10140,0
6700,14814,13487,0
0A875,11292,11292,92
0A875,14107,13198,1002
0A875,14831,13502,91
6725,10423,11292,5586
6725,11292,10272,5171
6725,11292,10140,1221
6725,11697,11292,6116
6725,11884,13198,1335
