FLIGHT_NUMBER,DISTANCE,AIR_TIME,FREIGHT,PASSENGERS,ORIGIN_STATE_ABR,DEST_STATE_ABR,UNIQUE_CARRIER_ENTITY
823,834,1156,0,1401,CA,CO,6460
824,1015,1447,0,503,CO,MI,6904
825,1626,2629,0,1704,CO,NY,6673
826,1626,3020,0,1770,NY,CO,6673
827,794,1229,0,776,CO,TX,7041
828,794,1440,0,761,TX,CO,7041
829,996,1761,0,528,CO,OR,6700
830,680,1185,3504,1716,CO,MN,0A875
831,1436,2072,186,1426,CO,NC,0A875
832,1024,1718,79,1878,CO,WA,0A875
833,641,1127,616,1731,TX,CO,0A875
834,896,1542,90,1873,WI,CO,0A875
835,680,1120,37,1577,MN,CO,0A875
836,909,1327,500,1543,CA,CO,0A875
837,1014,1552,2576,1498,CO,TN,6725
838,632,933,147172,0,CA,CO,6200
839,637,1128,0,520,MO,CO,6904
840,1069,1986,0,1874,KY,CO,6035
841,1069,1686,0,1776,CO,KY,6035
842,1620,2811,4,1492,NY,CO,1260
843,391,823,0,762,CO,UT,6700
844,752,1468,0,501,IL,CO,6700
845,455,862,719,1495,CO,MT,0A875
846,589,1110,4017,1903,CO,IA,0A875
847,896,1415,187,1926,CO,WI,0A875
848,472,792,243,1870,CO,NE,0A875
849,819,1405,357,1836,CO,CA,0A875
850,1506,2328,285,1772,CO,FL,0A875
851,1546,2598,5,2217,FL,CO,0A875
852,1436,2655,484,1579,NC,CO,0A875
853,853,1442,2,1724,CA,CO,0A875
854,524,902,0,1648,MT,CO,6460
855,692,1337,0,2259,IA,CO,6460
856,524,1016,0,1855,CO,MT,6460
857,692,1102,0,2180,CO,IA,6460
858,1370,2231,0,1820,CO,NC,6460
859,1024,1919,0,1849,CO,WA,6460
860,1370,2502,0,1862,NC,CO,6460
861,1024,1642,0,1853,WA,CO,6460
862,957,1503,540673,0,CA,CO,6200
863,692,1383,0,596,IA,CO,6700
864,455,897,405,1486,MT,CO,0A875
865,775,1393,56,2007,CO,TX,0A875
866,853,1578,111,2082,CO,CA,0A875
867,589,1210,20,1877,IA,CO,0A875
868,862,1499,2188,1586,TX,CO,0A875
869,472,983,47,2069,NE,CO,0A875
870,819,1505,81,2031,CA,CO,0A875
871,948,1725,12,1929,CA,CO,0A875
872,651,1353,8741,1910,TX,CO,6725
873,1703,3044,4467,2359,FL,CO,6725
874,1014,1912,0,2967,TN,CO,6460
875,1014,1764,0,2602,CO,TN,6460
876,1068,2376,0,1007,CO,WA,6700
877,996,1949,0,644,OR,CO,6700
878,1068,2121,0,1053,WA,CO,6700
879,349,786,217,2081,NM,CO,0A875
880,1290,2340,70,2231,CO,PA,0A875
881,472,1074,27,2331,NE,CO,0A875
882,1290,2647,435,2302,PA,CO,0A875
883,589,1239,0,932,IA,CO,6003
884,826,1504,0,2455,CO,WI,6460
885,826,1769,0,2373,WI,CO,6460
886,872,1605,1163906,0,CO,TN,6200
887,624,1349,0,637,CO,MT,6904
888,616,1187,0,565,CO,AR,6904
889,616,1389,0,569,AR,CO,6904
890,1068,2327,0,1004,CO,WA,6580
891,1068,1865,0,1024,WA,CO,6580
892,1123,2547,690,2613,MI,CO,1260
893,752,1594,0,605,CO,IL,6700
894,349,831,316,2324,CO,NM,0A875
895,628,1320,615,2187,NV,CO,0A875
896,1620,3537,0,1854,NY,CO,0A875
897,1024,2000,437,2427,WA,CO,0A875
898,909,1791,182,2296,CA,CO,0A875
899,872,2037,0,985,TN,CO,6003
900,1014,2322,0,2812,TN,CO,6460
901,1014,2021,0,2728,CO,TN,6460
902,679,1564,0,2234,CO,MT,6460
903,1162,2222,0,2227,CO,TN,6460
904,679,1405,0,1813,MT,CO,6460
905,1162,2622,0,2302,TN,CO,6460
906,632,1405,317135,0,CO,CA,6200
907,1061,2100,321148,0,CO,TN,6200
908,872,1889,482374,0,TN,CO,6200
909,872,1899,1382593,0,TN,CO,6200
910,1061,2318,660324,0,TN,CO,6200
911,624,1397,0,707,MT,CO,6904
912,771,1875,0,708,AR,CO,6904
913,328,1220,0,117,CO,AZ,1177
914,328,1145,0,121,AZ,CO,1177
915,680,1643,285,3355,CO,MN,1260
916,1123,2726,926,3222,MI,CO,1260
917,541,1361,0,1059,OK,CO,7041
918,349,1001,0,807,NM,CO,6700
919,533,1290,0,1129,CO,MO,6700
920,776,1928,0,1048,CO,CA,6700
921,563,1412,0,1124,TX,CO,6700
922,776,1782,0,1098,CA,CO,6700
923,1154,2732,252,1932,OH,CO,0A875
924,349,851,466,2665,CO,NM,0A875
925,1201,2842,503,3223,CO,OH,0A875
926,977,2019,113,2875,CO,IN,0A875
927,628,1496,287,2193,CO,NV,0A875
928,964,2013,87,1985,OR,CO,0A875
929,1062,2212,791,2494,LA,CO,0A875
930,1290,3023,1632,2721,PA,CO,0A875
931,948,2104,145,2500,CA,CO,0A875
